Name,Price,Rating,Reviews,Description
Acer Aspire ES...,$379.95,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux"
Acer Aspire 3...,$391.48,0,N/A,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3...,$393.88,0,N/A,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux"
Asus VivoBook...,$399,0,N/A,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home"
Asus VivoBook...,$399.99,0,N/A,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Lenovo ThinkPa...,$404.23,0,N/A,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3...,$408.98,0,N/A,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V110-15...,$409.63,0,N/A,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home"
Acer Aspire ES...,$410.46,0,N/A,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home"
Asus VivoBook...,$410.66,0,N/A,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Packard 255 G2,$416.99,0,N/A,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
Asus EeeBook R...,$433.3,0,N/A,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd"
Acer Aspire 3...,$436.29,0,N/A,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home"
Acer Aspire ES...,$436.29,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home"
Acer Extensa 1...,$439.73,0,N/A,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
Acer Aspire ES...,$454.62,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
Lenovo V110-15...,$454.73,0,N/A,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro"
Acer Aspire A3...,$457.38,0,N/A,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG"
Lenovo V110-15...,$465.95,0,N/A,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS"
Asus VivoBook...,$468.56,0,N/A,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd"
Acer Aspire ES...,$469.1,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V510 Bl...,$484.23,0,N/A,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire ES...,$485.9,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux"
Lenovo V510 Bl...,$487.8,0,N/A,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Acer Swift 1 S...,$488.64,0,N/A,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home"
Dell Vostro 15,$488.78,0,N/A,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux"
Acer Aspire 3...,$494.71,0,N/A,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home"
Dell Vostro 15...,$497.17,0,N/A,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux"
Lenovo V510 Bl...,$498.23,0,N/A,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro"
HP 250 G3,$520.99,0,N/A,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1"
Acer Spin 5,$564.98,0,N/A,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home"
HP 350 G1,$577.99,0,N/A,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows"
Aspire E1-572G,$581.99,0,N/A,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1"
Pavilion,$609.99,0,N/A,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1"
Acer Aspire A5...,$679,0,N/A,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG"
Dell Inspiron...,$679,0,N/A,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux"
Asus VivoBook...,$729,0,N/A,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd"
ProBook,$739.99,0,N/A,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
Inspiron 15,$745.99,0,N/A,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,"
Asus ROG STRIX...,$799,0,N/A,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS"
Acer Nitro 5 A...,$809,0,N/A,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home"
Asus ROG STRIX...,$899,0,N/A,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home"
Lenovo ThinkPa...,$999,0,N/A,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro"
ThinkPad Yoga,$1033.99,0,N/A,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,"
Lenovo ThinkPa...,$1096.02,0,N/A,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro"
Dell Inspiron...,$1098.42,0,N/A,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home"
MSI GL72M 7RDX,$1099,0,N/A,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
MSI GL72M 7RDX,$1099,0,N/A,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd"
Asus ROG Strix...,$1101.83,0,N/A,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS"
Dell Latitude...,$1102.66,0,N/A,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
Dell Latitude...,$1110.14,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home"
Lenovo Legion...,$1112.91,0,N/A,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home"
Toshiba Porteg...,$1114.55,0,N/A,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro"
Acer Predator...,$1123.87,0,N/A,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home"
Acer Aspire 7...,$1123.87,0,N/A,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home"
Dell Inspiron...,$1124.2,0,N/A,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home"
Dell Latitude...,$1133.82,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro"
Lenovo Legion...,$1133.91,0,N/A,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home"
Asus AsusPro A...,$1139.54,0,N/A,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG"
Acer Nitro 5 A...,$1140.62,0,N/A,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home"
Dell Latitude...,$1143.4,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro"
Dell Inspiron...,$1144.2,0,N/A,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home"
Dell Latitude...,$1144.4,0,N/A,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
Lenovo Legion...,$1149,0,N/A,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS"
MSI GP62M 7RDX...,$1149,0,N/A,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
Lenovo Yoga 72...,$1149.73,0,N/A,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
Toshiba Porteg...,$1154.04,0,N/A,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro"
Acer TravelMat...,$1170.1,0,N/A,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro"
Dell Latitude...,$1178.19,0,N/A,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home"
ThinkPad T540p,$1178.99,0,N/A,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
MSI GS63 7RD S...,$1179,0,N/A,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home"
Dell Latitude...,$1187.88,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
Acer Predator...,$1187.98,0,N/A,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home"
MSI GL62M 7REX,$1199,0,N/A,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
MSI GL62M 7REX...,$1199,0,N/A,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
Lenovo Yoga 91...,$1199.73,0,N/A,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
Toshiba Porteg...,$1203.41,0,N/A,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
Lenovo IdeaPad...,$1212.16,0,N/A,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
Acer Predator...,$1221.58,0,N/A,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home"
ThinkPad Yoga,$1223.99,0,N/A,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows"
Asus VivoBook...,$1235.49,0,N/A,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd"
Dell Latitude...,$1238.37,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
Asus ZenBook U...,$1239.2,0,N/A,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd"
ThinkPad X230,$1244.99,0,N/A,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit"
Asus ROG Strix...,$1259,0,N/A,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd"
Apple MacBook...,$1260.13,0,N/A,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG"
Dell Latitude...,$1271.06,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro"
Hewlett Packar...,$1273.11,0,N/A,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
Dell XPS 13,$1281.99,0,N/A,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1"
Toshiba Porteg...,$1294.74,0,N/A,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
MSI GL62VR 7RF...,$1299,0,N/A,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home"
Dell Latitude...,$1310.39,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro"
ThinkPad X240,$1311.99,0,N/A,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
Hewlett Packar...,$1326.83,0,N/A,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro"
Apple MacBook...,$1333,0,N/A,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG"
Dell Latitude...,$1337.28,0,N/A,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro"
Dell Latitude...,$1338.37,0,N/A,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home"
Dell Latitude...,$1341.22,0,N/A,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux"
Apple MacBook...,$1347.78,0,N/A,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS"
Lenovo ThinkPa...,$1349.23,0,N/A,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
Lenovo ThinkPa...,$1362.24,0,N/A,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
Toshiba Porteg...,$1366.32,0,N/A,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro"
Asus ASUSPRO B...,$1381.13,0,N/A,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd"
Lenovo Legion...,$1399,0,N/A,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard"
Asus ROG Strix...,$1399,0,N/A,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd"
Asus ROG Strix...,$1769,0,N/A,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home"
Asus ROG Strix...,$1769,0,N/A,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home"
Asus ROG Strix...,$1799,0,N/A,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home"
Asus VivoBook...,$295.99,0,N/A,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd"
Prestigio Smar...,$299,0,N/A,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
Prestigio Smar...,$299,0,N/A,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam"
Aspire E1-510,$306.99,0,N/A,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux"
Lenovo V110-15...,$321.94,0,N/A,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V110-15...,$356.49,0,N/A,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd"
Hewlett Packar...,$364.46,0,N/A,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS"
Acer Aspire 3...,$372.7,0,N/A,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire A3...,$379.94,0,N/A,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG"
Acer Aspire ES...,$379.95,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux"
Acer Aspire 3...,$391.48,0,N/A,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3...,$393.88,0,N/A,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux"
Asus VivoBook...,$399,0,N/A,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home"
Asus VivoBook...,$399.99,0,N/A,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Lenovo ThinkPa...,$404.23,0,N/A,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire 3...,$408.98,0,N/A,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V110-15...,$409.63,0,N/A,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home"
Acer Aspire ES...,$410.46,0,N/A,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home"
Asus VivoBook...,$410.66,0,N/A,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd"
Packard 255 G2,$416.99,0,N/A,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1"
Asus EeeBook R...,$433.3,0,N/A,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd"
Acer Aspire 3...,$436.29,0,N/A,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home"
Acer Aspire ES...,$436.29,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home"
Acer Extensa 1...,$439.73,0,N/A,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
Acer Aspire ES...,$454.62,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux"
Lenovo V110-15...,$454.73,0,N/A,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro"
Acer Aspire A3...,$457.38,0,N/A,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG"
Lenovo V110-15...,$465.95,0,N/A,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS"
Asus VivoBook...,$468.56,0,N/A,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd"
Acer Aspire ES...,$469.1,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Lenovo V510 Bl...,$484.23,0,N/A,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Acer Aspire ES...,$485.9,0,N/A,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux"
Lenovo V510 Bl...,$487.8,0,N/A,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home"
Acer Swift 1 S...,$488.64,0,N/A,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home"
Dell Vostro 15,$488.78,0,N/A,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux"
Acer Aspire 3...,$494.71,0,N/A,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home"
Dell Vostro 15...,$497.17,0,N/A,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux"
Lenovo V510 Bl...,$498.23,0,N/A,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro"
HP 250 G3,$520.99,0,N/A,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1"
Acer Spin 5,$564.98,0,N/A,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home"
HP 350 G1,$577.99,0,N/A,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows"
Aspire E1-572G,$581.99,0,N/A,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1"
Pavilion,$609.99,0,N/A,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1"
Acer Aspire A5...,$679,0,N/A,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG"
Dell Inspiron...,$679,0,N/A,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux"
Asus VivoBook...,$729,0,N/A,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd"
ProBook,$739.99,0,N/A,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit"
Inspiron 15,$745.99,0,N/A,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,"
Asus ROG STRIX...,$799,0,N/A,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS"
Acer Nitro 5 A...,$809,0,N/A,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home"
Asus ROG STRIX...,$899,0,N/A,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home"
Lenovo ThinkPa...,$999,0,N/A,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro"
ThinkPad Yoga,$1033.99,0,N/A,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,"
Lenovo ThinkPa...,$1096.02,0,N/A,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro"
Dell Inspiron...,$1098.42,0,N/A,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home"
